Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,MBP
12:41:17.254,3.683804,12:41:17.254,42.162426,12:41:17.254,0.001982,64
12:41:17.255,3.49808,12:41:17.255,42.17931,12:41:17.255,0.00264,64
12:41:17.256,3.430544,12:41:17.256,42.229962,12:41:17.256,0.003955,64
12:41:17.257,3.396776,12:41:17.257,42.078006,12:41:17.257,0.00527,64
12:41:17.258,3.32924,12:41:17.258,41.993586,12:41:17.258,0.00264,64
12:41:17.259,3.346124,12:41:17.259,41.942934,12:41:17.259,0.002969,64
12:41:17.260,3.261704,12:41:17.260,42.01047,12:41:17.260,0.003626,64
12:41:17.261,3.430544,12:41:17.261,41.959818,12:41:17.261,0.002969,64
12:41:17.262,3.599384,12:41:17.262,41.824746,12:41:17.262,0.003297,64
12:41:17.263,3.700688,12:41:17.263,41.706558,12:41:17.263,0.003955,64
12:41:17.264,3.818876,12:41:17.264,41.858514,12:41:17.264,0.00264,64
12:41:17.265,4.08902,12:41:17.265,41.689674,12:41:17.265,0.00264,64
12:41:17.266,4.291628,12:41:17.266,41.58837,12:41:17.266,0.002969,64
12:41:17.267,4.528004,12:41:17.267,41.487067,12:41:17.267,0.002311,64
12:41:17.268,4.629308,12:41:17.268,41.689674,12:41:17.268,0.003626,64
12:41:17.269,4.950104,12:41:17.269,41.470183,12:41:17.269,0.002311,64
12:41:17.270,5.152712,12:41:17.270,41.351995,12:41:17.270,0.003626,64
12:41:17.271,5.18648,12:41:17.271,41.216923,12:41:17.271,0.00264,64
12:41:17.272,5.304668,12:41:17.272,41.487067,12:41:17.272,0.00264,64
12:41:17.273,5.456624,12:41:17.273,41.318227,12:41:17.273,0.003297,64
12:41:17.274,5.557928,12:41:17.274,41.200039,12:41:17.274,0.002311,64
12:41:17.275,5.490392,12:41:17.275,41.200039,12:41:17.275,0.003955,64
12:41:17.276,5.389088,12:41:17.276,41.402647,12:41:17.276,0.002311,64
12:41:17.277,5.2709,12:41:17.277,41.301343,12:41:17.277,0.002311,64
12:41:17.278,5.203364,12:41:17.278,41.250691,12:41:17.278,0.00264,64
12:41:17.279,5.01764,12:41:17.279,41.216923,12:41:17.279,0.002311,64
12:41:17.280,4.781264,12:41:17.280,41.351995,12:41:17.280,0.001982,64
12:41:17.281,4.612424,12:41:17.281,41.267575,12:41:17.281,0.00264,64
12:41:17.282,4.34228,12:41:17.282,41.183155,12:41:17.282,0.00264,64
12:41:17.283,4.072136,12:41:17.283,41.200039,12:41:17.283,0.004941,64
12:41:17.284,3.801992,12:41:17.284,41.318227,12:41:17.284,0.002969,64
12:41:17.285,3.616268,12:41:17.285,41.166271,12:41:17.285,0.001653,64
12:41:17.286,3.379892,12:41:17.286,41.098735,12:41:17.286,0.003626,64
12:41:17.287,3.227936,12:41:17.287,41.031199,12:41:17.287,0.003297,64
12:41:17.288,3.008444,12:41:17.288,41.216923,12:41:17.288,0.003297,64
12:41:17.289,2.90714,12:41:17.289,41.081851,12:41:17.289,0.004284,64
12:41:17.290,2.856488,12:41:17.290,40.946779,12:41:17.290,0.004941,64
12:41:17.291,2.772068,12:41:17.291,40.946779,12:41:17.291,0.00264,64
12:41:17.292,2.856488,12:41:17.292,41.115619,12:41:17.292,0.002969,64
12:41:17.293,2.890256,12:41:17.293,40.997431,12:41:17.293,0.002969,64
12:41:17.294,3.042212,12:41:17.294,40.896127,12:41:17.294,0.00264,64
12:41:17.295,3.143516,12:41:17.295,40.896127,12:41:17.295,0.00264,64
12:41:17.296,3.227936,12:41:17.296,41.132503,12:41:17.296,0.003297,64
12:41:17.297,3.41366,12:41:17.297,41.149387,12:41:17.297,0.003955,64
12:41:17.298,3.5825,12:41:17.298,41.031199,12:41:17.298,0.003955,64
12:41:17.299,3.683804,12:41:17.299,40.997431,12:41:17.299,0.003626,64
12:41:17.300,3.818876,12:41:17.300,41.183155,12:41:17.300,0.002311,64
12:41:17.301,3.953948,12:41:17.301,41.081851,12:41:17.301,0.00264,64
12:41:17.302,4.156556,12:41:17.302,41.014315,12:41:17.302,0.00264,64
12:41:17.303,4.207208,12:41:17.303,41.048083,12:41:17.303,0.003297,64
12:41:17.304,4.190324,12:41:17.304,41.250691,12:41:17.304,0.001982,64
12:41:17.305,4.274744,12:41:17.305,41.132503,12:41:17.305,0.002311,64
12:41:17.306,4.25786,12:41:17.306,41.064967,12:41:17.306,0.001653,64
12:41:17.307,4.240976,12:41:17.307,41.115619,12:41:17.307,0.003955,64
12:41:17.308,4.190324,12:41:17.308,41.301343,12:41:17.308,0.003626,64
12:41:17.309,4.122788,12:41:17.309,41.200039,12:41:17.309,0.00264,64
12:41:17.310,3.987716,12:41:17.310,41.115619,12:41:17.310,0.00264,64
12:41:17.311,3.970832,12:41:17.311,41.132503,12:41:17.311,0.003297,64
12:41:17.312,3.801992,12:41:17.312,41.301343,12:41:17.312,0.002969,64
12:41:17.313,3.650036,12:41:17.313,41.233807,12:41:17.313,0.001653,64
12:41:17.314,3.683804,12:41:17.314,41.098735,12:41:17.314,0.003297,64
12:41:17.315,3.430544,12:41:17.315,41.132503,12:41:17.315,0.003626,64
12:41:17.316,3.312356,12:41:17.316,41.318227,12:41:17.316,0.001325,64
12:41:17.317,3.177284,12:41:17.317,41.318227,12:41:17.317,0.003626,64
12:41:17.318,3.126632,12:41:17.318,41.200039,12:41:17.318,0.003626,64
12:41:17.319,3.042212,12:41:17.319,41.115619,12:41:17.319,0.003297,64
12:41:17.320,2.772068,12:41:17.320,41.335111,12:41:17.320,0.00264,64
12:41:17.321,2.721416,12:41:17.321,41.351995,12:41:17.321,0.002311,64
12:41:17.322,2.586345,12:41:17.322,41.200039,12:41:17.322,0.002969,64
12:41:17.323,2.552577,12:41:17.323,41.081851,12:41:17.323,0.003955,64
12:41:17.324,2.485041,12:41:17.324,41.301343,12:41:17.324,0.003626,64
12:41:17.325,2.434389,12:41:17.325,41.318227,12:41:17.325,0.002311,64
12:41:17.326,2.417505,12:41:17.326,41.098735,12:41:17.326,0.004284,64
12:41:17.327,2.349969,12:41:17.327,41.183155,12:41:17.327,0.002311,64
12:41:17.328,2.434389,12:41:17.328,41.402647,12:41:17.328,0.001325,64
12:41:17.329,2.400621,12:41:17.329,41.487067,12:41:17.329,0.00264,64
12:41:17.330,2.586345,12:41:17.330,41.284459,12:41:17.330,0.002311,64
12:41:17.331,2.636997,12:41:17.331,41.351995,12:41:17.331,0.002969,64
12:41:17.332,2.569461,12:41:17.332,41.554602,12:41:17.332,0.001653,64
12:41:17.333,2.636997,12:41:17.333,41.67279,12:41:17.333,0.00264,64
12:41:17.334,2.788952,12:41:17.334,41.368879,12:41:17.334,0.003297,64
12:41:17.335,2.890256,12:41:17.335,41.487067,12:41:17.335,0.002969,64
12:41:17.336,2.99156,12:41:17.336,41.571486,12:41:17.336,0.003626,64
12:41:17.337,3.008444,12:41:17.337,41.655906,12:41:17.337,0.00264,64
12:41:17.338,3.126632,12:41:17.338,41.520835,12:41:17.338,0.00264,64
12:41:17.339,3.1604,12:41:17.339,41.503951,12:41:17.339,0.00264,64
12:41:17.340,3.211052,12:41:17.340,41.605254,12:41:17.340,0.00264,64
12:41:17.341,3.211052,12:41:17.341,41.655906,12:41:17.341,0.003955,64
12:41:17.342,3.346124,12:41:17.342,41.402647,12:41:17.342,0.003297,64
12:41:17.343,3.278588,12:41:17.343,41.368879,12:41:17.343,0.003297,64
12:41:17.344,3.32924,12:41:17.344,41.453299,12:41:17.344,0.002969,64
12:41:17.345,3.346124,12:41:17.345,41.503951,12:41:17.345,0.003297,64
12:41:17.346,3.379892,12:41:17.346,41.284459,12:41:17.346,0.00264,64
12:41:17.347,3.346124,12:41:17.347,41.250691,12:41:17.347,0.003626,64
12:41:17.348,3.295472,12:41:17.348,41.385763,12:41:17.348,0.00264,64
12:41:17.349,3.211052,12:41:17.349,41.487067,12:41:17.349,0.003955,64
12:41:17.350,3.295472,12:41:17.350,41.335111,12:41:17.350,0.004612,64
12:41:17.351,3.295472,12:41:17.351,41.267575,12:41:17.351,0.001982,64
12:41:17.352,3.261704,12:41:17.352,41.351995,12:41:17.352,0.003297,64
12:41:17.353,3.143516,12:41:17.353,41.554602,12:41:17.353,0.003955,64
12:41:17.354,3.194168,12:41:17.354,41.267575,12:41:17.354,0.002969,64
12:41:17.355,3.194168,12:41:17.355,41.318227,12:41:17.355,0.00264,64
12:41:17.356,3.059096,12:41:17.356,41.385763,12:41:17.356,0.002311,64
12:41:17.357,3.07598,12:41:17.357,41.436415,12:41:17.357,0.002311,64
12:41:17.358,3.109748,12:41:17.358,41.351995,12:41:17.358,0.001982,64
12:41:17.359,3.059096,12:41:17.359,41.318227,12:41:17.359,0.003297,64
12:41:17.360,3.042212,12:41:17.360,41.402647,12:41:17.360,0.001982,64
12:41:17.361,3.025328,12:41:17.361,41.351995,12:41:17.361,0.003955,64
12:41:17.362,3.059096,12:41:17.362,41.267575,12:41:17.362,0.003626,64
12:41:17.363,2.957792,12:41:17.363,41.183155,12:41:17.363,0.00264,64
12:41:17.364,3.008444,12:41:17.364,41.335111,12:41:17.364,0.003297,64
12:41:17.365,3.042212,12:41:17.365,41.351995,12:41:17.365,0.004612,64
12:41:17.366,3.07598,12:41:17.366,41.166271,12:41:17.366,0.003626,64
12:41:17.367,3.109748,12:41:17.367,41.081851,12:41:17.367,0.00264,64
12:41:17.368,3.109748,12:41:17.368,41.267575,12:41:17.368,0.000996,64
12:41:17.369,3.109748,12:41:17.369,41.368879,12:41:17.369,0.003626,64
12:41:17.370,3.194168,12:41:17.370,41.301343,12:41:17.370,0.003955,64
12:41:17.371,3.227936,12:41:17.371,41.267575,12:41:17.371,0.00264,64
12:41:17.372,3.24482,12:41:17.372,41.267575,12:41:17.372,0.003955,64
12:41:17.373,3.227936,12:41:17.373,41.335111,12:41:17.373,0.003626,64
12:41:17.374,3.312356,12:41:17.374,41.301343,12:41:17.374,0.002969,64
12:41:17.375,3.363008,12:41:17.375,41.250691,12:41:17.375,0.003297,64
12:41:17.376,3.430544,12:41:17.376,41.166271,12:41:17.376,0.00264,64
12:41:17.377,3.346124,12:41:17.377,41.284459,12:41:17.377,0.001325,64
12:41:17.378,3.363008,12:41:17.378,41.115619,12:41:17.378,0.002311,64
12:41:17.379,3.430544,12:41:17.379,41.098735,12:41:17.379,0.00264,64
12:41:17.380,3.49808,12:41:17.380,41.014315,12:41:17.380,0.001325,64
12:41:17.381,3.396776,12:41:17.381,41.081851,12:41:17.381,0.00264,64
12:41:17.382,3.430544,12:41:17.382,40.929895,12:41:17.382,0.001982,64
12:41:17.383,3.363008,12:41:17.383,40.980547,12:41:17.383,0.003297,64
12:41:17.384,3.346124,12:41:17.384,40.811707,12:41:17.384,0.001982,64
12:41:17.385,3.32924,12:41:17.385,40.946779,12:41:17.385,0.003626,64
12:41:17.386,3.346124,12:41:17.386,40.710403,12:41:17.386,0.002311,64
12:41:17.387,3.379892,12:41:17.387,40.710403,12:41:17.387,0.002311,64
12:41:17.388,3.295472,12:41:17.388,40.676635,12:41:17.388,0.003297,64
12:41:17.389,3.295472,12:41:17.389,40.845475,12:41:17.389,0.002969,64
12:41:17.390,3.278588,12:41:17.390,40.625983,12:41:17.390,0.002311,64
12:41:17.391,3.312356,12:41:17.391,40.676635,12:41:17.391,0.002969,64
12:41:17.392,3.261704,12:41:17.392,40.676635,12:41:17.392,0.003297,64
12:41:17.393,3.32924,12:41:17.393,40.794823,12:41:17.393,0.003297,64
12:41:17.394,3.32924,12:41:17.394,40.625983,12:41:17.394,0.004284,64
12:41:17.395,3.295472,12:41:17.395,40.727287,12:41:17.395,0.003297,64
12:41:17.396,3.346124,12:41:17.396,40.676635,12:41:17.396,0.00264,64
12:41:17.397,3.211052,12:41:17.397,40.727287,12:41:17.397,0.00264,64
12:41:17.398,3.177284,12:41:17.398,40.727287,12:41:17.398,0.00527,64
12:41:17.399,3.24482,12:41:17.399,40.676635,12:41:17.399,0.002311,64
12:41:17.400,3.227936,12:41:17.400,40.558447,12:41:17.400,0.001982,64
12:41:17.401,3.194168,12:41:17.401,40.710403,12:41:17.401,0.003626,64
12:41:17.402,3.194168,12:41:17.402,40.693519,12:41:17.402,0.002969,64
12:41:17.403,3.177284,12:41:17.403,40.558447,12:41:17.403,0.001653,64
12:41:17.404,3.194168,12:41:17.404,40.524679,12:41:17.404,0.002969,64
12:41:17.405,3.109748,12:41:17.405,40.490911,12:41:17.405,0.001653,64
12:41:17.406,3.143516,12:41:17.406,40.423375,12:41:17.406,0.002969,64
12:41:17.407,3.126632,12:41:17.407,40.322071,12:41:17.407,0.00264,64
12:41:17.408,3.126632,12:41:17.408,40.322071,12:41:17.408,0.00264,64
12:41:17.409,3.042212,12:41:17.409,40.305187,12:41:17.409,0.004284,64
12:41:17.410,3.109748,12:41:17.410,40.237651,12:41:17.410,0.001653,64
12:41:17.411,3.143516,12:41:17.411,40.203883,12:41:17.411,0.002311,64
12:41:17.412,3.07598,12:41:17.412,40.170115,12:41:17.412,0.003297,64
12:41:17.413,3.025328,12:41:17.413,40.186999,12:41:17.413,0.001653,64
12:41:17.414,3.07598,12:41:17.414,40.170115,12:41:17.414,0.003955,64
12:41:17.415,3.059096,12:41:17.415,40.085695,12:41:17.415,0.002311,64
12:41:17.416,3.07598,12:41:17.416,40.136347,12:41:17.416,0.00264,64
12:41:17.417,3.042212,12:41:17.417,40.271419,12:41:17.417,0.002969,64
12:41:17.418,2.974676,12:41:17.418,40.136347,12:41:17.418,0.002969,64
12:41:17.419,2.974676,12:41:17.419,40.102579,12:41:17.419,0.001982,64
12:41:17.420,2.974676,12:41:17.420,40.119463,12:41:17.420,0.00527,64
12:41:17.421,2.873372,12:41:17.421,40.119463,12:41:17.421,0.002311,64
12:41:17.422,2.873372,12:41:17.422,40.153231,12:41:17.422,0.003955,64
12:41:17.423,2.873372,12:41:17.423,40.102579,12:41:17.423,0.002969,64
12:41:17.424,2.788952,12:41:17.424,40.051927,12:41:17.424,0.003297,64
12:41:17.425,2.755184,12:41:17.425,40.237651,12:41:17.425,0.003626,64
12:41:17.426,2.772068,12:41:17.426,40.186999,12:41:17.426,0.003297,64
12:41:17.427,2.772068,12:41:17.427,40.102579,12:41:17.427,0.001653,64
12:41:17.428,2.788952,12:41:17.428,40.102579,12:41:17.428,0.002311,64
