Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,SBP,DBP,MBP
16:11:23.775,4.240976,16:11:23.775,49.219934,16:11:23.775,0.002311,116,44,64
16:11:23.776,4.207208,16:11:23.776,49.186166,16:11:23.776,0.00264,116,44,64
16:11:23.777,4.139672,16:11:23.777,49.388774,16:11:23.777,0.00264,116,44,64
16:11:23.778,4.105904,16:11:23.778,49.439426,16:11:23.778,0.001982,116,44,64
16:11:23.779,4.224092,16:11:23.779,49.118631,16:11:23.779,0.002969,116,44,64
16:11:23.780,4.105904,16:11:23.780,49.084863,16:11:23.780,0.003626,116,44,64
16:11:23.781,4.122788,16:11:23.781,49.321238,16:11:23.781,0.00264,116,44,64
16:11:23.782,4.105904,16:11:23.782,49.338122,16:11:23.782,0.000996,116,44,64
16:11:23.783,4.105904,16:11:23.783,49.101747,16:11:23.783,0.001325,116,44,64
16:11:23.784,4.122788,16:11:23.784,49.135515,16:11:23.784,0.002311,116,44,64
16:11:23.785,4.08902,16:11:23.785,49.236818,16:11:23.785,0.000996,116,44,64
16:11:23.786,4.122788,16:11:23.786,49.236818,16:11:23.786,0.001325,116,44,64
16:11:23.787,4.156556,16:11:23.787,49.034211,16:11:23.787,0.00264,116,44,64
16:11:23.788,4.190324,16:11:23.788,49.051095,16:11:23.788,0.00264,116,44,64
16:11:23.789,4.139672,16:11:23.789,49.186166,16:11:23.789,0.002311,116,44,64
16:11:23.790,4.17344,16:11:23.790,49.169282,16:11:23.790,0.004612,116,44,64
16:11:23.791,4.224092,16:11:23.791,49.017327,16:11:23.791,0.001982,116,44,64
16:11:23.792,4.224092,16:11:23.792,48.983559,16:11:23.792,0.00264,116,44,64
16:11:23.793,4.190324,16:11:23.793,49.20305,16:11:23.793,0.002969,116,44,64
16:11:23.794,4.17344,16:11:23.794,49.186166,16:11:23.794,0.001982,116,44,64
16:11:23.795,4.240976,16:11:23.795,49.000443,16:11:23.795,0.00264,116,44,64
16:11:23.796,4.17344,16:11:23.796,48.916023,16:11:23.796,0.002969,116,44,64
16:11:23.797,4.122788,16:11:23.797,49.017327,16:11:23.797,0.00264,116,44,64
16:11:23.798,4.122788,16:11:23.798,49.067979,16:11:23.798,0.001982,116,44,64
16:11:23.799,4.072136,16:11:23.799,48.882255,16:11:23.799,0.001325,116,44,64
16:11:23.800,4.072136,16:11:23.800,48.899139,16:11:23.800,0.001982,116,44,64
16:11:23.801,4.08902,16:11:23.801,49.034211,16:11:23.801,0.001982,116,44,64
16:11:23.802,4.072136,16:11:23.802,49.118631,16:11:23.802,0.00264,116,44,64
16:11:23.803,4.055252,16:11:23.803,48.882255,16:11:23.803,0.001653,116,44,64
16:11:23.804,4.122788,16:11:23.804,48.797835,16:11:23.804,0.001982,116,44,64
16:11:23.805,4.021484,16:11:23.805,49.017327,16:11:23.805,0.001982,116,44,64
16:11:23.806,4.038368,16:11:23.806,48.966675,16:11:23.806,0.001982,116,44,64
16:11:23.807,4.139672,16:11:23.807,48.764067,16:11:23.807,0.001653,116,44,64
16:11:23.808,4.156556,16:11:23.808,48.747183,16:11:23.808,0.002311,116,44,64
16:11:23.809,4.122788,16:11:23.809,48.882255,16:11:23.809,0.000996,116,44,64
16:11:23.810,4.122788,16:11:23.810,49.051095,16:11:23.810,0.001982,116,44,64
16:11:23.811,4.17344,16:11:23.811,48.645879,16:11:23.811,0.00264,116,44,64
16:11:23.812,4.139672,16:11:23.812,48.713415,16:11:23.812,0.003297,116,44,64
