Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,SBP,DBP,MBP
17:18:26.030,4.713728,17:18:26.031,26.578501,17:18:26.030,0.00264,128,50,72
17:18:26.031,4.612424,17:18:26.032,26.510965,17:18:26.031,0.000996,128,50,72
17:18:26.032,4.747496,17:18:26.033,26.409661,17:18:26.032,0.003955,128,50,72
17:18:26.033,4.646192,17:18:26.034,26.409661,17:18:26.033,0.00264,128,50,72
17:18:26.034,4.477352,17:18:26.035,26.426545,17:18:26.034,0.000996,128,50,72
17:18:26.035,4.392932,17:18:26.036,26.544733,17:18:26.035,0.001982,128,50,72
17:18:26.036,4.308512,17:18:26.037,26.359009,17:18:26.036,0.002969,128,50,72
17:18:26.037,4.224092,17:18:26.038,26.274589,17:18:26.037,0.000996,128,50,72
17:18:26.038,4.072136,17:18:26.039,26.375893,17:18:26.038,0.001325,128,50,72
17:18:26.039,3.92018,17:18:26.040,26.359009,17:18:26.039,0.001982,128,50,72
17:18:26.040,3.886412,17:18:26.041,26.240821,17:18:26.040,0.001325,128,50,72
17:18:26.041,3.852644,17:18:26.042,26.257705,17:18:26.041,0.001982,128,50,72
17:18:26.042,3.785108,17:18:26.043,26.274589,17:18:26.042,0.002969,128,50,72
17:18:26.043,3.734456,17:18:26.044,26.223937,17:18:26.043,0.001653,128,50,72
17:18:26.044,3.734456,17:18:26.045,26.257705,17:18:26.044,0.001653,128,50,72
17:18:26.045,3.75134,17:18:26.046,26.139517,17:18:26.045,0.000667,128,50,72
17:18:26.046,3.700688,17:18:26.047,26.139517,17:18:26.046,0.002311,128,50,72
17:18:26.047,3.75134,17:18:26.048,26.223937,17:18:26.047,0.001653,128,50,72
17:18:26.048,3.83576,17:18:26.048,26.156401,17:18:26.048,0.002311,128,50,72
17:18:26.049,3.886412,17:18:26.050,26.088865,17:18:26.049,0.003626,128,50,72
17:18:26.050,3.869528,17:18:26.051,26.122633,17:18:26.050,0.002311,128,50,72
17:18:26.051,3.903296,17:18:26.052,26.156401,17:18:26.051,0.001982,128,50,72
17:18:26.052,3.987716,17:18:26.052,26.105749,17:18:26.052,0.002969,128,50,72
17:18:26.053,4.08902,17:18:26.054,26.055097,17:18:26.053,0.00264,128,50,72
17:18:26.054,4.08902,17:18:26.055,26.156401,17:18:26.054,0.002969,128,50,72
17:18:26.055,4.122788,17:18:26.056,26.122633,17:18:26.055,0.002969,128,50,72
17:18:26.056,4.139672,17:18:26.057,25.936909,17:18:26.056,0.001325,128,50,72
17:18:26.057,4.240976,17:18:26.058,25.936909,17:18:26.057,0.00264,128,50,72
17:18:26.058,4.122788,17:18:26.059,26.004445,17:18:26.058,0.003626,128,50,72
17:18:26.059,4.105904,17:18:26.060,25.953793,17:18:26.059,0.001982,128,50,72
17:18:26.060,4.25786,17:18:26.061,25.818721,17:18:26.060,0.003955,128,50,72
17:18:26.061,4.25786,17:18:26.062,25.869373,17:18:26.061,0.002969,128,50,72
17:18:26.062,4.240976,17:18:26.063,25.835605,17:18:26.062,0.002969,128,50,72
17:18:26.063,4.139672,17:18:26.064,25.886257,17:18:26.063,0.001653,128,50,72
