Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,SBP,DBP,MBP
16:29:31.459,8.090527,16:29:31.459,57.121642,16:29:31.459,0.000996,134,51,73
16:29:31.460,8.242483,16:29:31.460,56.952802,16:29:31.460,0.003626,134,51,73
16:29:31.461,8.411323,16:29:31.461,56.699542,16:29:31.461,0.002969,134,51,73
16:29:31.462,8.461975,16:29:31.462,56.665774,16:29:31.462,0.002311,134,51,73
16:29:31.463,8.563279,16:29:31.463,56.851498,16:29:31.463,0.003955,134,51,73
16:29:31.464,8.529511,16:29:31.464,56.885266,16:29:31.464,0.003297,134,51,73
16:29:31.465,8.630815,16:29:31.465,56.665774,16:29:31.465,0.002969,134,51,73
16:29:31.466,8.529511,16:29:31.466,56.699542,16:29:31.466,0.001653,134,51,73
16:29:31.467,8.580163,16:29:31.467,56.81773,16:29:31.467,0.002311,134,51,73
16:29:31.468,8.563279,16:29:31.468,56.935918,16:29:31.468,0.00264,134,51,73
16:29:31.469,8.461975,16:29:31.469,56.598238,16:29:31.469,0.002969,134,51,73
16:29:31.470,8.310019,16:29:31.470,56.598238,16:29:31.470,0.003297,134,51,73
16:29:31.471,8.124295,16:29:31.471,56.834614,16:29:31.471,0.002969,134,51,73
16:29:31.472,8.107411,16:29:31.472,57.07099,16:29:31.472,0.001982,134,51,73
16:29:31.473,7.989223,16:29:31.473,56.64889,16:29:31.473,0.002969,134,51,73
16:29:31.474,7.921687,16:29:31.474,56.598238,16:29:31.474,0.001653,134,51,73
16:29:31.475,7.752847,16:29:31.475,56.834614,16:29:31.475,0.002311,134,51,73
16:29:31.476,7.685311,16:29:31.476,56.868382,16:29:31.476,0.000667,134,51,73
16:29:31.477,7.550239,16:29:31.477,56.615122,16:29:31.477,0.00264,134,51,73
16:29:31.478,7.499587,16:29:31.478,56.513818,16:29:31.478,0.001982,134,51,73
16:29:31.479,7.330747,16:29:31.479,56.767078,16:29:31.479,0.000009,134,51,73
16:29:31.480,7.263211,16:29:31.480,56.783962,16:29:31.480,0.001325,134,51,73
16:29:31.481,7.229443,16:29:31.481,56.598238,16:29:31.481,0.002311,134,51,73
16:29:31.482,7.145023,16:29:31.482,56.530702,16:29:31.482,0.001653,134,51,73
16:29:31.483,7.111255,16:29:31.483,56.699542,16:29:31.483,0.003297,134,51,73
16:29:31.484,7.161907,16:29:31.484,56.81773,16:29:31.484,0.000009,134,51,73
16:29:31.485,7.263211,16:29:31.485,56.446282,16:29:31.485,0.002969,134,51,73
16:29:31.486,7.229443,16:29:31.486,56.463166,16:29:31.486,0.002311,134,51,73
16:29:31.487,7.313863,16:29:31.487,56.598238,16:29:31.487,0.001653,134,51,73
16:29:31.488,7.330747,16:29:31.488,56.750194,16:29:31.488,0.002311,134,51,73
16:29:31.489,7.516471,16:29:31.489,56.513818,16:29:31.489,0.000667,134,51,73
16:29:31.490,7.550239,16:29:31.490,56.446282,16:29:31.490,0.003626,134,51,73
16:29:31.491,7.584007,16:29:31.491,56.581354,16:29:31.491,0.003955,134,51,73
16:29:31.492,7.719079,16:29:31.492,56.868382,16:29:31.492,0.001982,134,51,73
16:29:31.493,7.837267,16:29:31.493,56.48005,16:29:31.493,0.002311,134,51,73
16:29:31.494,7.887919,16:29:31.494,56.513818,16:29:31.494,0.00264,134,51,73
16:29:31.495,7.921687,16:29:31.495,56.581354,16:29:31.495,0.002311,134,51,73
16:29:31.496,7.972339,16:29:31.496,56.767078,16:29:31.496,0.002311,134,51,73
16:29:31.497,8.022991,16:29:31.497,56.530702,16:29:31.497,0.004284,134,51,73
16:29:31.498,8.090527,16:29:31.498,56.496934,16:29:31.498,0.001982,134,51,73
16:29:31.499,8.141179,16:29:31.499,56.665774,16:29:31.499,0.003297,134,51,73
16:29:31.500,8.073643,16:29:31.500,56.73331,16:29:31.500,0.000338,134,51,73
16:29:31.501,8.141179,16:29:31.501,56.429398,16:29:31.501,0.002311,134,51,73
16:29:31.502,8.090527,16:29:31.502,56.39563,16:29:31.502,0.002969,134,51,73
16:29:31.503,8.090527,16:29:31.503,56.56447,16:29:31.503,0.001982,134,51,73
16:29:31.504,7.955455,16:29:31.504,56.64889,16:29:31.504,0.001653,134,51,73
16:29:31.505,7.989223,16:29:31.505,56.39563,16:29:31.505,0.002311,134,51,73
16:29:31.506,7.887919,16:29:31.506,56.344978,16:29:31.506,0.001653,134,51,73
16:29:31.507,7.786615,16:29:31.507,56.513818,16:29:31.507,0.001653,134,51,73
16:29:31.508,7.803499,16:29:31.508,56.699542,16:29:31.508,0.001653,134,51,73
16:29:31.509,7.786615,16:29:31.509,56.243674,16:29:31.509,0.003297,134,51,73
16:29:31.510,7.769731,16:29:31.510,56.260558,16:29:31.510,0.002311,134,51,73
16:29:31.511,7.668427,16:29:31.511,56.463166,16:29:31.511,0.000338,134,51,73
16:29:31.512,7.634659,16:29:31.512,56.581354,16:29:31.512,0.001982,134,51,73
16:29:31.513,7.617775,16:29:31.513,56.31121,16:29:31.513,0.002311,134,51,73
16:29:31.514,7.567123,16:29:31.514,56.176138,16:29:31.514,0.001982,134,51,73
16:29:31.515,7.516471,16:29:31.515,56.463166,16:29:31.515,0.00264,134,51,73
16:29:31.516,7.533355,16:29:31.516,56.56447,16:29:31.516,0.003297,134,51,73
16:29:31.517,7.482703,16:29:31.517,56.277442,16:29:31.517,0.002969,134,51,73
16:29:31.518,7.482703,16:29:31.518,56.243674,16:29:31.518,0.004284,134,51,73
16:29:31.519,7.398283,16:29:31.519,56.31121,16:29:31.519,0.002969,134,51,73
16:29:31.520,7.347631,16:29:31.520,56.598238,16:29:31.520,0.001653,134,51,73
16:29:31.521,7.330747,16:29:31.521,56.22679,16:29:31.521,0.001653,134,51,73
16:29:31.522,7.364515,16:29:31.522,56.14237,16:29:31.522,0.001325,134,51,73
16:29:31.523,7.415167,16:29:31.523,56.159254,16:29:31.523,0.002311,134,51,73
16:29:31.524,7.347631,16:29:31.524,56.344978,16:29:31.524,0.00264,134,51,73
16:29:31.525,7.381399,16:29:31.525,56.041066,16:29:31.525,0.001653,134,51,73
16:29:31.526,7.347631,16:29:31.526,55.97353,16:29:31.526,0.003297,134,51,73
16:29:31.527,7.448935,16:29:31.527,55.97353,16:29:31.527,0.001982,134,51,73
16:29:31.528,7.398283,16:29:31.528,56.277442,16:29:31.528,0.001982,134,51,73
16:29:31.529,7.465819,16:29:31.529,56.074834,16:29:31.529,0.002311,134,51,73
16:29:31.530,7.550239,16:29:31.530,55.956646,16:29:31.530,0.000996,134,51,73
16:29:31.531,7.533355,16:29:31.531,56.041066,16:29:31.531,0.001653,134,51,73
16:29:31.532,7.600891,16:29:31.532,56.209906,16:29:31.532,0.001982,134,51,73
16:29:31.533,7.600891,16:29:31.533,55.905995,16:29:31.533,0.001325,134,51,73
16:29:31.534,7.719079,16:29:31.534,55.838459,16:29:31.534,0.003297,134,51,73
16:29:31.535,7.651543,16:29:31.535,55.821575,16:29:31.535,0.001653,134,51,73
16:29:31.536,7.651543,16:29:31.536,56.108602,16:29:31.536,0.002969,134,51,73
16:29:31.537,7.685311,16:29:31.537,55.872227,16:29:31.537,0.00264,134,51,73
16:29:31.538,7.668427,16:29:31.538,55.703387,16:29:31.538,0.002969,134,51,73
16:29:31.539,7.634659,16:29:31.539,55.754039,16:29:31.539,0.002311,134,51,73
16:29:31.540,7.584007,16:29:31.540,55.939762,16:29:31.540,0.001653,134,51,73
16:29:31.541,7.550239,16:29:31.541,55.686503,16:29:31.541,0.00264,134,51,73
16:29:31.542,7.533355,16:29:31.542,55.585199,16:29:31.542,0.001982,134,51,73
16:29:31.543,7.465819,16:29:31.543,55.534547,16:29:31.543,0.002311,134,51,73
16:29:31.544,7.415167,16:29:31.544,55.720271,16:29:31.544,0.001653,134,51,73
16:29:31.545,7.465819,16:29:31.545,55.551431,16:29:31.545,0.002969,134,51,73
16:29:31.546,7.330747,16:29:31.546,55.348823,16:29:31.546,0.001325,134,51,73
16:29:31.547,7.381399,16:29:31.547,55.348823,16:29:31.547,0.003626,134,51,73
16:29:31.548,7.296979,16:29:31.548,55.618967,16:29:31.548,0.00264,134,51,73
16:29:31.549,7.263211,16:29:31.549,55.399475,16:29:31.549,0.001982,134,51,73
16:29:31.550,7.330747,16:29:31.550,55.315055,16:29:31.550,0.002311,134,51,73
16:29:31.551,7.313863,16:29:31.551,55.247519,16:29:31.551,0.00264,134,51,73
16:29:31.552,7.347631,16:29:31.552,55.467011,16:29:31.552,0.002311,134,51,73
16:29:31.553,7.313863,16:29:31.553,55.213751,16:29:31.553,0.002969,134,51,73
16:29:31.554,7.381399,16:29:31.554,55.247519,16:29:31.554,0.00264,134,51,73
16:29:31.555,7.448935,16:29:31.555,55.129331,16:29:31.555,0.002311,134,51,73
16:29:31.556,7.432051,16:29:31.556,55.399475,16:29:31.556,0.003626,134,51,73
16:29:31.557,7.465819,16:29:31.557,55.078679,16:29:31.557,0.001653,134,51,73
16:29:31.558,7.448935,16:29:31.558,55.061795,16:29:31.558,0.001653,134,51,73
16:29:31.559,7.465819,16:29:31.559,54.960491,16:29:31.559,0.00264,134,51,73
16:29:31.560,7.381399,16:29:31.560,55.247519,16:29:31.560,0.002311,134,51,73
16:29:31.561,7.499587,16:29:31.561,55.095563,16:29:31.561,0.000667,134,51,73
16:29:31.562,7.482703,16:29:31.562,54.825419,16:29:31.562,0.003297,134,51,73
16:29:31.563,7.499587,16:29:31.563,54.842303,16:29:31.563,0.001653,134,51,73
16:29:31.564,7.415167,16:29:31.564,55.061795,16:29:31.564,0.00264,134,51,73
16:29:31.565,7.482703,16:29:31.565,54.994259,16:29:31.565,0.00264,134,51,73
16:29:31.566,7.465819,16:29:31.566,54.808535,16:29:31.566,0.001325,134,51,73
16:29:31.567,7.533355,16:29:31.567,54.774767,16:29:31.567,0.004612,134,51,73
16:29:31.568,7.398283,16:29:31.568,54.977375,16:29:31.568,0.001653,134,51,73
16:29:31.569,7.415167,16:29:31.569,54.825419,16:29:31.569,0.002969,134,51,73
16:29:31.570,7.432051,16:29:31.570,54.707231,16:29:31.570,0.002969,134,51,73
16:29:31.571,7.364515,16:29:31.571,54.622811,16:29:31.571,0.002969,134,51,73
16:29:31.572,7.381399,16:29:31.572,54.876071,16:29:31.572,0.003297,134,51,73
16:29:31.573,7.432051,16:29:31.573,54.673463,16:29:31.573,0.002311,134,51,73
16:29:31.574,7.381399,16:29:31.574,54.589043,16:29:31.574,0.001982,134,51,73
16:29:31.575,7.330747,16:29:31.575,54.437087,16:29:31.575,0.001653,134,51,73
16:29:31.576,7.246327,16:29:31.576,54.656579,16:29:31.576,0.002311,134,51,73
16:29:31.577,7.246327,16:29:31.577,54.774767,16:29:31.577,0.002311,134,51,73
16:29:31.578,7.212559,16:29:31.578,54.521507,16:29:31.578,0.001653,134,51,73
16:29:31.579,7.145023,16:29:31.579,54.555275,16:29:31.579,0.003297,134,51,73
16:29:31.580,7.111255,16:29:31.580,54.538391,16:29:31.580,0.001653,134,51,73
16:29:31.581,7.060603,16:29:31.581,54.639695,16:29:31.581,0.002311,134,51,73
16:29:31.582,7.026835,16:29:31.582,54.572159,16:29:31.582,0.001653,134,51,73
16:29:31.583,7.043719,16:29:31.583,54.420203,16:29:31.583,0.00264,134,51,73
16:29:31.584,7.026835,16:29:31.584,54.572159,16:29:31.584,0.001982,134,51,73
16:29:31.585,6.925531,16:29:31.585,54.538391,16:29:31.585,0.002311,134,51,73
16:29:31.586,7.043719,16:29:31.586,54.420203,16:29:31.586,0.000667,134,51,73
16:29:31.587,7.009951,16:29:31.587,54.285131,16:29:31.587,0.002311,134,51,73
16:29:31.588,6.976183,16:29:31.588,54.369551,16:29:31.588,0.001982,134,51,73
16:29:31.589,6.976183,16:29:31.589,54.335783,16:29:31.589,0.003297,134,51,73
16:29:31.590,7.111255,16:29:31.590,54.200712,16:29:31.590,0.00264,134,51,73
16:29:31.591,7.145023,16:29:31.591,54.217596,16:29:31.591,0.003955,134,51,73
16:29:31.592,7.145023,16:29:31.592,54.23448,16:29:31.592,0.004284,134,51,73
16:29:31.593,7.145023,16:29:31.593,54.302015,16:29:31.593,0.002969,134,51,73
16:29:31.594,7.195675,16:29:31.594,54.133176,16:29:31.594,0.002969,134,51,73
16:29:31.595,7.246327,16:29:31.595,54.048756,16:29:31.595,0.002311,134,51,73
16:29:31.596,7.280095,16:29:31.596,54.15006,16:29:31.596,0.002969,134,51,73
16:29:31.597,7.330747,16:29:31.597,54.183828,16:29:31.597,0.002969,134,51,73
16:29:31.598,7.381399,16:29:31.598,53.8968,16:29:31.598,0.003297,134,51,73
16:29:31.599,7.415167,16:29:31.599,53.8968,16:29:31.599,0.001653,134,51,73
16:29:31.600,7.415167,16:29:31.600,53.8968,16:29:31.600,0.001653,134,51,73
16:29:31.601,7.415167,16:29:31.601,53.998104,16:29:31.601,0.00264,134,51,73
16:29:31.602,7.381399,16:29:31.602,53.863032,16:29:31.602,0.003297,134,51,73
16:29:31.603,7.432051,16:29:31.603,53.829264,16:29:31.603,0.003626,134,51,73
16:29:31.604,7.432051,16:29:31.604,53.930568,16:29:31.604,0.001653,134,51,73
16:29:31.605,7.381399,16:29:31.605,53.846148,16:29:31.605,0.002969,134,51,73
16:29:31.606,7.330747,16:29:31.606,53.744844,16:29:31.606,0.001325,134,51,73
16:29:31.607,7.415167,16:29:31.607,53.626656,16:29:31.607,0.001325,134,51,73
16:29:31.608,7.347631,16:29:31.608,53.795496,16:29:31.608,0.002311,134,51,73
16:29:31.609,7.330747,16:29:31.609,53.81238,16:29:31.609,0.000996,134,51,73
16:29:31.610,7.330747,16:29:31.610,53.64354,16:29:31.610,0.002969,134,51,73
16:29:31.611,7.347631,16:29:31.611,53.592888,16:29:31.611,0.002969,134,51,73
16:29:31.612,7.280095,16:29:31.612,53.744844,16:29:31.612,0.001982,134,51,73
16:29:31.613,7.330747,16:29:31.613,53.761728,16:29:31.613,0.001982,134,51,73
16:29:31.614,7.229443,16:29:31.614,53.576004,16:29:31.614,0.001982,134,51,73
16:29:31.615,7.280095,16:29:31.615,53.55912,16:29:31.615,0.001325,134,51,73
16:29:31.616,7.246327,16:29:31.616,53.626656,16:29:31.616,0.002969,134,51,73
16:29:31.617,7.161907,16:29:31.617,53.626656,16:29:31.617,0.00264,134,51,73
16:29:31.618,7.195675,16:29:31.618,53.4747,16:29:31.618,0.001653,134,51,73
16:29:31.619,7.161907,16:29:31.619,53.4747,16:29:31.619,0.001325,134,51,73
16:29:31.620,7.026835,16:29:31.620,53.525352,16:29:31.620,0.003297,134,51,73
16:29:31.621,7.009951,16:29:31.621,53.542236,16:29:31.621,0.001982,134,51,73
16:29:31.622,7.077487,16:29:31.622,53.424048,16:29:31.622,0.001982,134,51,73
16:29:31.623,7.009951,16:29:31.623,53.4747,16:29:31.623,0.003626,134,51,73
16:29:31.624,7.043719,16:29:31.624,53.457816,16:29:31.624,0.003626,134,51,73
16:29:31.625,6.976183,16:29:31.625,53.491584,16:29:31.625,0.002311,134,51,73
16:29:31.626,7.043719,16:29:31.626,53.339628,16:29:31.626,0.00264,134,51,73
16:29:31.627,7.026835,16:29:31.627,53.322744,16:29:31.627,0.003626,134,51,73
16:29:31.628,6.976183,16:29:31.628,53.22144,16:29:31.628,0.002969,134,51,73
16:29:31.629,7.043719,16:29:31.629,53.424048,16:29:31.629,0.002969,134,51,73
16:29:31.630,7.043719,16:29:31.630,53.288976,16:29:31.630,0.003626,134,51,73
16:29:31.631,7.043719,16:29:31.631,53.13702,16:29:31.631,0.003955,134,51,73
16:29:31.632,7.094371,16:29:31.632,53.272092,16:29:31.632,0.003297,134,51,73
16:29:31.633,7.145023,16:29:31.633,53.440932,16:29:31.633,0.002311,134,51,73
16:29:31.634,7.161907,16:29:31.634,53.255208,16:29:31.634,0.00264,134,51,73
16:29:31.635,7.161907,16:29:31.635,53.204556,16:29:31.635,0.002969,134,51,73
16:29:31.636,7.145023,16:29:31.636,53.22144,16:29:31.636,0.00264,134,51,73
16:29:31.637,7.128139,16:29:31.637,53.288976,16:29:31.637,0.000996,134,51,73
16:29:31.638,7.161907,16:29:31.638,53.120136,16:29:31.638,0.001982,134,51,73
16:29:31.639,7.161907,16:29:31.639,53.103252,16:29:31.639,0.001325,134,51,73
16:29:31.640,7.128139,16:29:31.640,53.13702,16:29:31.640,0.002311,134,51,73
16:29:31.641,7.128139,16:29:31.641,53.272092,16:29:31.641,0.001982,134,51,73
16:29:31.642,7.077487,16:29:31.642,53.13702,16:29:31.642,0.001653,134,51,73
16:29:31.643,7.145023,16:29:31.643,53.069484,16:29:31.643,0.002969,134,51,73
16:29:31.644,7.060603,16:29:31.644,53.018832,16:29:31.644,0.002311,134,51,73
16:29:31.645,7.060603,16:29:31.645,53.103252,16:29:31.645,0.002969,134,51,73
16:29:31.646,7.026835,16:29:31.646,52.934412,16:29:31.646,0.00264,134,51,73
16:29:31.647,6.993067,16:29:31.647,53.001948,16:29:31.647,0.002311,134,51,73
16:29:31.648,7.043719,16:29:31.648,52.951296,16:29:31.648,0.00264,134,51,73
16:29:31.649,7.009951,16:29:31.649,53.001948,16:29:31.649,0.001325,134,51,73
16:29:31.650,7.026835,16:29:31.650,52.951296,16:29:31.650,0.002311,134,51,73
16:29:31.651,7.009951,16:29:31.651,52.849992,16:29:31.651,0.002311,134,51,73
16:29:31.652,7.077487,16:29:31.652,52.88376,16:29:31.652,0.002311,134,51,73
16:29:31.653,7.111255,16:29:31.653,53.018832,16:29:31.653,0.000996,134,51,73
16:29:31.654,7.145023,16:29:31.654,52.900644,16:29:31.654,0.002311,134,51,73
16:29:31.655,7.111255,16:29:31.655,52.833108,16:29:31.655,0.002311,134,51,73
16:29:31.656,7.128139,16:29:31.656,52.88376,16:29:31.656,0.001982,134,51,73
16:29:31.657,7.077487,16:29:31.657,52.934412,16:29:31.657,0.002969,134,51,73
16:29:31.658,7.077487,16:29:31.658,52.951296,16:29:31.658,0.003297,134,51,73
16:29:31.659,7.077487,16:29:31.659,52.748688,16:29:31.659,0.002311,134,51,73
16:29:31.660,7.026835,16:29:31.660,52.698036,16:29:31.660,0.001325,134,51,73
16:29:31.661,7.060603,16:29:31.661,52.917528,16:29:31.661,0.000996,134,51,73
16:29:31.662,7.043719,16:29:31.662,52.731804,16:29:31.662,0.001653,134,51,73
16:29:31.663,7.026835,16:29:31.663,52.647384,16:29:31.663,0.001325,134,51,73
16:29:31.664,7.009951,16:29:31.664,52.681152,16:29:31.664,0.001653,134,51,73
