Time,Voltage_1,Voltage_2,Voltage_0
15:59:20.977,7.313863,60.24518,0.001325
15:59:20.978,7.313863,60.16076,0.002311
15:59:20.979,7.263211,60.008804,0.00264
15:59:20.980,7.212559,60.177644,0.004284
15:59:20.981,7.161907,60.093224,0.006585
15:59:20.982,7.145023,60.042572,0.011517
15:59:20.983,7.128139,60.228296,0.009544
15:59:20.984,7.145023,60.008804,0.003626
15:59:20.985,7.145023,60.008804,0.003297
15:59:20.986,7.111255,60.008804,0.001982
15:59:20.987,7.060603,59.941268,0.002969
15:59:20.988,7.026835,59.958152,0.003626
15:59:20.989,7.077487,59.958152,0.003626
15:59:20.990,6.908647,59.890616,0.00264
15:59:20.991,6.891763,60.126992,0.00264
15:59:20.992,7.009951,60.093224,0.001653
15:59:20.993,6.942415,59.941268,0.001982
15:59:20.994,6.993067,60.008804,0.001982
15:59:20.995,6.942415,60.025688,0.001325
15:59:20.996,6.942415,59.958152,0.001653
15:59:20.997,6.976183,60.042572,0.003626
15:59:20.998,6.976183,59.873732,0.001653
15:59:20.999,6.942415,59.99192,0.003626
15:59:21.000,6.959299,59.873732,0.001653
15:59:21.001,6.841111,59.839964,0.001653
15:59:21.002,6.925531,59.924384,0.003297
15:59:21.003,6.908647,59.9075,0.001325
15:59:21.004,6.874879,59.856848,0.003955
15:59:21.005,6.857995,59.721776,0.00264
15:59:21.006,6.857995,59.839964,0.003297
15:59:21.007,6.908647,59.873732,0.003297
15:59:21.008,6.857995,59.789312,0.001653
15:59:21.009,6.942415,59.65424,0.002311
15:59:21.010,6.891763,59.620472,0.001982
15:59:21.011,6.908647,59.671124,0.00264
15:59:21.012,6.925531,59.603588,0.003297
15:59:21.013,6.908647,59.637356,0.003626
15:59:21.014,7.043719,59.772428,0.001982
15:59:21.015,7.043719,59.688008,0.001982
15:59:21.016,7.009951,59.637356,0.004612
15:59:21.017,7.026835,59.603588,0.003297
15:59:21.018,6.993067,59.65424,0.00264
15:59:21.019,7.043719,59.704892,0.000996
15:59:21.020,7.026835,59.552936,0.002311
15:59:21.021,6.976183,59.519168,0.002311
15:59:21.022,6.976183,59.603588,0.00264
15:59:21.023,6.824227,59.552936,0.00264
15:59:21.024,6.925531,59.451632,0.001982
15:59:21.025,6.891763,59.468516,0.001325
15:59:21.026,6.874879,59.451632,0.001325
15:59:21.027,6.807343,59.434748,0.001653
15:59:21.028,6.857995,59.434748,0.001325
15:59:21.029,6.857995,59.451632,0.001653
15:59:21.030,6.790459,59.451632,0.00264
15:59:21.031,6.841111,59.502284,0.00264
15:59:21.032,6.841111,59.249024,0.003297
15:59:21.033,6.908647,59.384096,0.001653
15:59:21.034,6.790459,59.31656,0.002969
15:59:21.035,6.773575,59.367212,0.002311
15:59:21.036,6.841111,59.23214,0.003297
15:59:21.037,6.841111,59.282792,0.003626
15:59:21.038,6.824227,59.249024,0.00264
15:59:21.039,6.841111,59.384096,0.000996
15:59:21.040,6.824227,59.215256,0.00264
15:59:21.041,6.773575,59.350328,0.001653
15:59:21.042,6.706039,59.299676,0.002311
15:59:21.043,6.722923,59.282792,0.002311
15:59:21.044,6.722923,59.198372,0.001653
15:59:21.045,6.722923,59.249024,0.002311
15:59:21.046,6.739807,59.164604,0.004612
15:59:21.047,6.689155,59.164604,0.000996
15:59:21.048,6.672271,59.080184,0.00264
15:59:21.049,6.638503,59.0633,0.001982
15:59:21.050,6.689155,58.995765,0.003626
15:59:21.051,6.773575,58.961997,0.002969
15:59:21.052,6.739807,58.945113,0.002311
15:59:21.053,6.739807,59.029533,0.002311
15:59:21.054,6.756691,59.0633,0.00264
15:59:21.055,6.689155,59.080184,0.003626
15:59:21.056,6.773575,58.928229,0.002311
15:59:21.057,6.773575,58.995765,0.00264
15:59:21.058,6.790459,58.945113,0.002969
15:59:21.059,6.773575,58.978881,0.003955
15:59:21.060,6.756691,58.826925,0.001982
15:59:21.061,6.672271,58.961997,0.002311
15:59:21.062,6.655387,58.945113,0.001982
15:59:21.063,6.672271,58.961997,0.00264
15:59:21.064,6.672271,58.810041,0.001982
15:59:21.065,6.638503,58.826925,0.002311
15:59:21.066,6.638503,58.961997,0.001982
15:59:21.067,6.638503,58.843809,0.002969
15:59:21.068,6.655387,58.759389,0.003297
15:59:21.069,6.570967,58.877577,0.00264
15:59:21.070,6.604735,58.826925,0.001325
15:59:21.071,6.570967,58.894461,0.001653
15:59:21.072,6.689155,58.911345,0.002969
15:59:21.073,6.604735,58.826925,0.002969
15:59:21.074,6.655387,58.843809,0.002311
15:59:21.075,6.672271,58.826925,0.001325
15:59:21.076,6.689155,58.742505,0.003955
15:59:21.150,6.233288,58.235985,0.00264
15:59:21.151,6.28394,58.168449,0.001653
15:59:21.152,6.300824,57.948957,0.001982
15:59:21.153,6.267056,57.965841,0.001653
15:59:21.154,6.334592,58.117797,0.003955
15:59:21.155,6.317708,58.067145,0.00264
15:59:21.156,6.28394,57.948957,0.002311
15:59:21.157,6.317708,58.016493,0.002311
15:59:21.158,6.317708,58.151565,0.00264
15:59:21.159,6.233288,58.100913,0.002311
15:59:21.160,6.300824,57.948957,0.002311
15:59:21.161,6.28394,57.999609,0.00264
15:59:21.162,6.233288,57.999609,0.00264
15:59:21.163,6.182636,58.050261,0.002969
15:59:21.164,6.19952,57.881421,0.00264
15:59:21.165,6.233288,57.932073,0.002311
15:59:21.166,6.250172,57.932073,0.001325
15:59:21.167,6.165752,57.881421,0.002969
15:59:21.168,6.216404,57.729465,0.001653
15:59:21.169,6.250172,57.661929,0.003955
15:59:21.170,6.081332,57.881421,0.00264
15:59:21.171,6.19952,57.864537,0.004612
15:59:21.172,6.182636,57.763233,0.001653
15:59:21.173,6.233288,57.712581,0.001325
15:59:21.174,6.216404,57.763233,0.002311
15:59:21.175,6.267056,57.830769,0.001982
15:59:21.176,6.233288,57.678813,0.002311
15:59:21.177,6.233288,57.695697,0.002969
15:59:21.178,6.250172,57.729465,0.00264
15:59:21.179,6.216404,57.729465,0.002311
15:59:21.180,6.216404,57.628161,0.001982
15:59:21.181,6.148868,57.543741,0.003626
15:59:21.182,6.131984,57.729465,0.002311
15:59:21.183,6.165752,57.729465,0.001653
15:59:21.184,6.165752,57.678813,0.002969
15:59:21.185,6.148868,57.526857,0.00264
15:59:21.186,6.098216,57.729465,0.002311
15:59:21.187,6.064448,57.678813,0.002311
15:59:21.188,6.064448,57.695697,0.002311
15:59:21.189,6.081332,57.645045,0.00264
15:59:21.190,6.081332,57.560625,0.003297
15:59:21.191,6.098216,57.645045,0.003297
15:59:21.192,6.148868,57.543741,0.001982
15:59:21.193,6.1151,57.49309,0.001325
15:59:21.194,6.131984,57.678813,0.002311
15:59:21.195,6.182636,57.763233,0.002311
15:59:21.196,6.148868,57.594393,0.003297
15:59:21.197,6.216404,57.442438,0.00264
15:59:21.198,6.131984,57.560625,0.002969
15:59:21.199,6.081332,57.543741,0.003297
15:59:21.200,6.148868,57.526857,0.000996
15:59:21.201,6.148868,57.442438,0.001982
15:59:21.202,6.131984,57.560625,0.003297
15:59:21.203,6.182636,57.543741,0.002311
15:59:21.204,6.064448,57.391786,0.002311
15:59:21.205,6.047564,57.374902,0.00264
15:59:21.206,6.081332,57.49309,0.001982
15:59:21.207,6.064448,57.543741,0.001982
15:59:21.208,6.047564,57.374902,0.002311
15:59:21.209,6.047564,57.391786,0.002311
15:59:21.210,5.996912,57.374902,0.002311
15:59:21.211,6.081332,57.459322,0.002311
15:59:21.212,6.047564,57.341134,0.002311
15:59:21.213,6.098216,57.256714,0.002311
15:59:21.214,6.098216,57.509973,0.003626
15:59:21.215,6.064448,57.391786,0.001653
15:59:21.216,6.098216,57.358018,0.002311
15:59:21.217,6.1151,57.32425,0.003626
15:59:21.218,6.081332,57.290482,0.001325
15:59:21.219,6.064448,57.32425,0.002311
15:59:21.220,6.03068,57.358018,0.001982
15:59:21.221,6.064448,57.189178,0.002969
15:59:21.222,5.963144,57.32425,0.003297
15:59:21.223,5.980028,57.341134,0.002969
15:59:21.224,5.980028,57.256714,0.00264
15:59:21.225,5.963144,57.222946,0.00264
15:59:21.226,5.980028,57.172294,0.00264
15:59:21.227,5.980028,57.341134,0.002311
15:59:21.228,5.980028,57.23983,0.00264
15:59:21.229,5.929376,57.172294,0.003626
15:59:21.230,5.895608,57.121642,0.000996
15:59:21.231,5.980028,57.32425,0.00264
15:59:21.232,5.963144,57.256714,0.002311
15:59:21.233,5.963144,57.104758,0.00264
15:59:21.234,5.929376,57.222946,0.001982
15:59:21.235,5.94626,57.290482,0.001982
15:59:21.236,5.996912,57.290482,0.003297
15:59:21.237,6.013796,57.222946,0.001325
15:59:21.238,6.047564,57.172294,0.001653
15:59:21.239,5.980028,57.104758,0.002969
15:59:21.240,5.980028,57.104758,0.001982
15:59:21.241,6.03068,57.020338,0.002311
15:59:21.242,5.94626,57.273598,0.001653
15:59:21.243,5.94626,57.256714,0.000996
15:59:21.244,5.912492,57.189178,0.000667
15:59:21.245,5.980028,57.121642,0.002311
15:59:21.246,5.912492,57.138526,0.002969
15:59:21.247,5.94626,57.104758,0.003297
15:59:21.248,5.94626,57.189178,0.002969
15:59:21.249,5.929376,57.037222,0.00264
15:59:21.360,5.60858,55.990414,0.002969
15:59:21.361,5.625464,55.990414,0.00264
15:59:21.362,5.642348,55.787807,0.001653
15:59:21.363,5.60858,55.889111,0.002311
15:59:21.364,5.625464,55.97353,0.001653
15:59:21.365,5.52416,55.922878,0.001653
15:59:21.366,5.574812,55.990414,0.001982
15:59:21.367,5.541044,55.956646,0.001982
15:59:21.368,5.574812,55.872227,0.002311
15:59:21.369,5.541044,55.838459,0.002311
15:59:21.370,5.541044,55.855343,0.003297
15:59:21.371,5.574812,55.703387,0.002311
15:59:21.372,5.456624,55.804691,0.002311
15:59:21.373,5.490392,55.905995,0.001325
15:59:21.374,5.574812,55.770923,0.001982
15:59:21.375,5.60858,55.720271,0.00264
15:59:21.376,5.557928,55.855343,0.003626
15:59:21.377,5.60858,55.905995,0.002969
15:59:21.378,5.60858,55.703387,0.00264
15:59:21.379,5.557928,55.737155,0.002311
15:59:21.380,5.574812,55.618967,0.001653
15:59:21.381,5.52416,55.754039,0.00264
15:59:21.382,5.541044,55.737155,0.001982
15:59:21.383,5.52416,55.669619,0.033876
15:59:21.384,5.405972,55.720271,3.070659
15:59:21.385,5.389088,55.804691,5.844395
15:59:21.386,5.456624,55.618967,6.142285
15:59:21.387,5.507276,55.635851,6.143929
15:59:21.388,5.456624,55.703387,6.144258
15:59:21.389,5.507276,55.635851,6.151492
15:59:21.390,5.456624,55.585199,6.15478
15:59:21.391,5.338436,55.534547,6.156752
15:59:21.392,5.338436,55.602083,6.167603
15:59:21.393,5.43974,55.720271,6.180426
15:59:21.394,5.574812,55.534547,6.183714
15:59:21.395,5.811188,55.467011,6.182399
15:59:21.396,6.351476,55.500779,6.182727
15:59:21.397,7.178791,55.585199,6.18207
